Org,Site ID,Name in EC,Latitude,Longitude,Watercourse (if known),"Catchment (or ""tbc"")"
CPRE,CPRE226,"CPRE226: Arrow, Pembridge",52.221149,-2.893477,Arrow,Arrow - conf Gilwern Bk to conf R Lugg
CPRE,CPRE227,"CPRE227: Arrow, Nr Noake Court Pembridge",52.230959,-2.919023,Arrow,Arrow - conf Gilwern Bk to conf R Lugg
CPRE,CPRE228,"CPRE228: Tippets Brook, Nr Luntley Court Bearwood",52.196919,-2.889542,Tippets Brook,Tippets Bk - source to conf Stretford Bk
CPRE,CPRE229,"CPRE229: Newbridge Brook,Weobley",52.162449,-2.886142,Newbridge Brook,Stretford Bk - source to conf R Arrow
CPRE,CPRE230,"CPRE230: Hindwell Brook, Combe",52.265187,-2.960778,Hindwell Brook,Hindwell Bk - conf Knobley Bk to conf R Lugg
CPRE,CPRE231,"CPRE231: Lugg, Rossers Bridge, Presteigne",52.270955,-2.955977,Lugg,Lugg - conf Norton Bk to conf R Arrow
CPRE,CPRE232,"CPRE232: Lugg, Lower Kinsham",52.276075,-2.934879,Lugg,Lugg - conf Norton Bk to conf R Arrow
CPRE,CPRE233,"CPRE233: Lugg, Deerfold Bridge, Aymestry",52.281951,-2.909641,Lugg,Lugg - conf Norton Bk to conf R Arrow
CPRE,CPRE234,"CPRE234: Lugg, Ford St Presteign",52.275429,-3.003193,Lugg,Lugg - conf Norton Bk to conf R Arrow
CPRE,CPRE235,"CPRE235: Hindwell Brook, Broadhurst Bridge",52.251168,-3.022268,Hindwell Brook,Hindwell Bk - conf Knobley Bk to conf R Lugg
CPRE,CPRE236,"CPRE236: Hindwell Brook, Birtley Cross",52.312594,-2.930798,Hindwell Brook,Lime Bk - source to conf R Lugg
CPRE,CPRE237,"CPRE237: Hindwell Brook, Nr Arthur Ridges Wood",52.319952,-2.947862,Hindwell Brook,Lime Bk - source to conf R Lugg
CPRE,CPRE238,"CPRE238: Parsons Pole Bridge, Brampton Bryan",52.350811,-2.924236,Teme,[Teme east area]
CPRE,CPRE239,"CPRE239: Teme, Letwardine Bridge, Whitton",52.359328,-2.876346,Teme,[Teme east area]
CPRE,CPRE240,"CPRE240: Teme, Burrington Bridge",52.343669,-2.829427,Teme,[Teme east area]
CPRE,CPRE241,"CPRE241: Allcocks Brook, Allcocks Bridge, Leinthall Starkes",52.319386,-2.845304,Allcocks Brook,[Teme east area]
CPRE,CPRE243,"CPRE243: Lodon, Panks Bridge, Bishops Frome",52.131293,-2.54604,Lodon,Lodon - source to conf R Frome
CPRE,CPRE244,"CPRE244: Trib of Lodden, White House, Little Cowarne",52.157193,-2.579136,Misc,Lodon - source to conf R Frome
CPRE,CPRE245,CPRE245: Unnamed Brook centre of Pencombe,52.171289,-2.587711,Misc,Lodon - source to conf R Frome
CPRE,CPRE246,"CPRE246: Unnamed Brook, Kings Rd, Comberton",52.304239,-2.739087,Misc,[Teme east area]
CPRE,CPRE247,CPRE247: Unnamed Brook by Telephone Box in Luston,52.265888,-2.754382,Misc,Ridgemoor Bk - source to conf R Lugg
CPRE,CPRE248,"CPRE248: Lugg, Lugg Green Road, Kingsland",52.25451,-2.809131,Lugg,Lugg - conf Norton Bk to conf R Arrow
CPRE,CPRE249,"CPRE249: Lugg, B4362, Mortimores Cross",52.268313,-2.841724,Lugg,Lugg - conf Norton Bk to conf R Arrow
CPRE,CPRE250,"CPRE250: River Lugg, Eaton Bridge",52.222442,-2.722714,Lugg,Lugg - conf Norton Bk to conf R Arrow
CPRE,CPRE251,"CPRE251: River Arrow, Footbridge in Noke Valley Estate",52.229369,-2.954523,Arrow,Arrow - conf Gilwern Bk to conf R Lugg
CPRE,CPRE252,CPRE252: Curl Brook Violets Bridge,52.21813,-2.903079,Curl Brook,Curl Bk - source to conf R Arrow
CPRE,CPRE253,CPRE253: Stansbach Brook Outfall,52.237966,-2.946948,Stansbach Brook,Arrow - conf Gilwern Bk to conf R Lugg
CPRE,CPRE254,CPRE254: Stansbach Brook Upperton House,52.243033,-2.957474,Stansbach Brook,Arrow - conf Gilwern Bk to conf R Lugg
CPRE,CPRE255,"CPRE255: Arrow, Pembridge Bridge",52.221149,-2.893477,Arrow,Arrow - conf Gilwern Bk to conf R Lugg
CPRE,CPRE256,CPRE256: Curl Brook Lyonshall,52.1932,-2.969707,Curl Brook,Curl Bk - source to conf R Arrow
CPRE,CPRE257,CPRE257: Pinsley Brook Shobden,52.252924,-2.878502,Pinsley Brook,Pinsley Bk - source to conf R Lugg
CPRE,CPRE259,"CPRE259: Newbridge Brook,Weobley",52.162476,-2.886142,Newbridge Brook,Stretford Bk - source to conf R Arrow
CPRE,CPRE260,"CPRE260: Arrow, Twyford Farm",52.225919,-2.88458,Arrow,Arrow - conf Gilwern Bk to conf R Lugg
CPRE,CPRE262,"CPRE262: Arrow, Mill Stream Eardisland",52.22317,-2.850973,Misc,Arrow - conf Gilwern Bk to conf R Lugg
CPRE,CPRE263,"CPRE263: Tadpole Brook, Eardisland",52.218669,-2.851722,Tadpole Brook,Arrow - conf Gilwern Bk to conf R Lugg
CPRE,CPRE264,"CPRE264: Tadpole Brook, Eardisland",52.219397,-2.84789,Tadpole Brook,Arrow - conf Gilwern Bk to conf R Lugg
CPRE,CPRE265,CPRE265: Millstream off Arrow Eardisland,52.223574,-2.863967,Misc,Arrow - conf Gilwern Bk to conf R Lugg
